PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
000900,PRICEGROUP6,35.5907,88.3627,3031
000900,PRICEGROUP7,44.1814,88.3627,3021
000900UC,PRICEGROUP1,35.5907,88.3627,3050
000900UC,PRICEGROUP2,35.5907,88.3627,3040
000900UC,PRICEGROUP3,39.2728,88.3627,3030
000900UC,PRICEGROUP4,44.1814,88.3627,3020
000900UC,PRICEGROUP5,47.8625,88.3627,3010
000900UC,PRICEGROUP6,35.5907,88.3627,3031
000900UC,PRICEGROUP7,44.1814,88.3627,3021
001000,PRICEGROUP1,35.5907,88.3627,3050
001000,PRICEGROUP2,35.5907,88.3627,3040
001000,PRICEGROUP3,39.2728,88.3627,3030
001000,PRICEGROUP4,44.1814,88.3627,3020
001000,PRICEGROUP5,47.8625,88.3627,3010
001000,PRICEGROUP6,35.5907,88.3627,3031
001000,PRICEGROUP7,44.1814,88.3627,3021
001000UC,PRICEGROUP1,35.5907,88.3627,3050
001000UC,PRICEGROUP2,35.5907,88.3627,3040
001000UC,PRICEGROUP3,39.2728,88.3627,3030
001000UC,PRICEGROUP4,44.1814,88.3627,3020
001000UC,PRICEGROUP5,47.8625,88.3627,3010
001000UC,PRICEGROUP6,35.5907,88.3627,3031
001000UC,PRICEGROUP7,44.1814,88.3627,3021
001010,PRICEGROUP1,35.5874,88.3545,3050
001010,PRICEGROUP2,35.5874,88.3545,3040
001010,PRICEGROUP3,39.2692,88.3545,3030
001010,PRICEGROUP4,44.1773,88.3545,3020
001010,PRICEGROUP5,47.8581,88.3545,3010
001010,PRICEGROUP6,35.5874,88.3545,3031
001010,PRICEGROUP7,44.1773,88.3545,3021
001020,PRICEGROUP1,52.7702,117.8169,3050
001020,PRICEGROUP2,52.7702,117.8169,3040
001020,PRICEGROUP3,56.4579,117.8169,3030
001020,PRICEGROUP4,60.1337,117.8169,3020
001020,PRICEGROUP5,63.8214,117.8169,3010
001020,PRICEGROUP6,52.7725,117.8169,3031
001020,PRICEGROUP7,60.0866,117.8169,3021
001020UC,PRICEGROUP1,52.7702,117.8169,3050
001020UC,PRICEGROUP2,52.7702,117.8169,3040
001020UC,PRICEGROUP3,56.4579,117.8169,3030
001020UC,PRICEGROUP4,60.1337,117.8169,3020
001020UC,PRICEGROUP5,63.8214,117.8169,3010
001020UC,PRICEGROUP6,52.7725,117.8169,3031
001020UC,PRICEGROUP7,60.0866,117.8169,3021
001040,PRICEGROUP1,35.5907,88.3627,3050
001040,PRICEGROUP2,35.5907,88.3627,3040
001040,PRICEGROUP3,39.2728,88.3627,3030
001040,PRICEGROUP4,44.1814,88.3627,3020
001040,PRICEGROUP5,47.8625,88.3627,3010
001040,PRICEGROUP6,35.5907,88.3627,3031
001040,PRICEGROUP7,44.1814,88.3627,3021
001040UC,PRICEGROUP1,35.5907,88.3627,3050
001040UC,PRICEGROUP2,35.5907,88.3627,3040
001040UC,PRICEGROUP3,39.2728,88.3627,3030
001040UC,PRICEGROUP4,44.1814,88.3627,3020
001040UC,PRICEGROUP5,47.8625,88.3627,3010
001040UC,PRICEGROUP6,35.5907,88.3627,3031
001040UC,PRICEGROUP7,44.1814,88.3627,3021
001100,PRICEGROUP1,35.5874,88.3545,3050
001100,PRICEGROUP2,35.5874,88.3545,3040
001100,PRICEGROUP3,39.2692,88.3545,3030
001100,PRICEGROUP4,44.1773,88.3545,3020
001100,PRICEGROUP5,47.8581,88.3545,3010
001100,PRICEGROUP6,35.5874,88.3545,3031
001100,PRICEGROUP7,44.1773,88.3545,3021
001120,PRICEGROUP1,35.5907,88.3627,3050
001120,PRICEGROUP2,35.5907,88.3627,3040
001120,PRICEGROUP3,39.2728,88.3627,3030
001120,PRICEGROUP4,44.1814,88.3627,3020
001120,PRICEGROUP5,47.8625,88.3627,3010
001120,PRICEGROUP6,35.5907,88.3627,3031
001120,PRICEGROUP7,44.1814,88.3627,3021
001120UC,PRICEGROUP1,35.5907,88.3627,3050
001120UC,PRICEGROUP2,35.5907,88.3627,3040
001120UC,PRICEGROUP3,39.2728,88.3627,3030
001120UC,PRICEGROUP4,44.1814,88.3627,3020
001120UC,PRICEGROUP5,47.8625,88.3627,3010
001120UC,PRICEGROUP6,35.5907,88.3627,3031
001120UC,PRICEGROUP7,44.1814,88.3627,3021
001130,PRICEGROUP1,35.5907,88.3627,3050
001130,PRICEGROUP2,35.5907,88.3627,3040
001130,PRICEGROUP3,39.2728,88.3627,3030
001130,PRICEGROUP4,44.1814,88.3627,3020
001130,PRICEGROUP5,47.8625,88.3627,3010
001130,PRICEGROUP6,35.5907,88.3627,3031
001130,PRICEGROUP7,44.1814,88.3627,3021
001130UC,PRICEGROUP1,35.5907,88.3627,3050
001130UC,PRICEGROUP2,35.5907,88.3627,3040
001130UC,PRICEGROUP3,39.2728,88.3627,3030
001130UC,PRICEGROUP4,44.1814,88.3627,3020
001130UC,PRICEGROUP5,47.8625,88.3627,3010
001130UC,PRICEGROUP6,35.5907,88.3627,3031
001130UC,PRICEGROUP7,44.1814,88.3627,3021
001210,PRICEGROUP1,32.9518,81.8109,3050
001210,PRICEGROUP2,32.9518,81.8109,3040
001210,PRICEGROUP3,36.3609,81.8109,3030
001210,PRICEGROUP4,40.9055,81.8109,3020
001210,PRICEGROUP5,44.3137,81.8109,3010
001210,PRICEGROUP6,32.9518,81.8109,3031
001210,PRICEGROUP7,40.9055,81.8109,3021
001302,PRICEGROUP1,32.9518,81.8109,3050
001302,PRICEGROUP2,32.9518,81.8109,3040
